weight,nregion,modularity
x4032,33,0.931450471
x4033,35,0.927952777
x4034,32,0.92530085
x4040,42,0.943688042
x4041,36,0.937547966
x4042,34,0.932549136
x4043,32,0.928028642
x4044,33,0.925927716
x4100,43,0.950870046
x4101,39,0.937250796
x4102,35,0.928243702
x4103,34,0.924376299
x4104,31,0.922744561
x4110,40,0.943685954
x4111,36,0.933454845
x4112,34,0.927270408
x4113,31,0.922434164
x4114,32,0.922572476
x4120,38,0.939233971
x4121,34,0.931652158
x4122,33,0.926849075
x4123,32,0.92333387
x4124,31,0.922282509
x4130,36,0.937427785
x4131,35,0.931370136
x4132,34,0.927797348
x4133,32,0.925114109
x4134,32,0.923256659
x4140,36,0.937753276
x4141,35,0.932699207
x4142,34,0.929156417
x4143,33,0.925714192
x4144,32,0.924606146
x4200,37,0.937185609
x4201,36,0.928978463
x4202,33,0.924398376
x4203,33,0.923616641
x4204,33,0.923067428
x4210,35,0.933643197
x4211,32,0.927862311
x4212,31,0.923144334
x4213,33,0.921965488
x4214,32,0.922596291
x4220,33,0.932371736
x4221,32,0.92703365
x4222,30,0.924149514
x4223,31,0.922211964
x4224,33,0.923191221
x4230,34,0.932596035
x4231,33,0.927952776
x4232,31,0.925291338
x4233,31,0.923335779
x4234,31,0.922825882
x4240,35,0.933653756
x4241,35,0.929499472
x4242,36,0.925997505
x4243,34,0.924876644
x4244,31,0.923818832
x4300,33,0.929563873
x4301,34,0.925227793
x4302,32,0.922755843
x4303,32,0.923882657
x4304,31,0.924195632
x4310,32,0.928977862
x4311,30,0.923686672
x4312,32,0.923272251
x4313,33,0.921112213
x4314,30,0.922651216
x4320,33,0.928315721
x4321,31,0.924569988
x4322,31,0.923334046
x4323,31,0.923062542
x4324,33,0.922827535
x4330,33,0.929443514
x4331,32,0.925762022
x4332,31,0.923922222
x4333,31,0.922556473
x4334,32,0.923117817
x4340,35,0.929921082
x4341,36,0.927614426
x4342,32,0.924383772
x4343,31,0.924383296
x4344,31,0.923589693
x4400,32,0.925673615
x4401,32,0.924790352
x4402,32,0.924866325
x4403,29,0.926117529
x4404,31,0.927589429
x4410,32,0.925079243
x4411,34,0.923975328
x4412,33,0.922900085
x4413,30,0.922756966
x4414,30,0.923915879
x4420,33,0.926190638
x4421,32,0.924507897
x4422,33,0.923761387
x4423,30,0.92135469
x4424,31,0.923555092
x4430,31,0.926458566
x4431,31,0.924235606
x4432,30,0.922591695
x4433,32,0.923497812
x4434,30,0.923028432
x4440,36,0.927349461
x4441,32,0.925031261
x4442,31,0.924425661
x4443,31,0.924172944
x4444,32,0.924013364
